Year,Month,Day,MJD,AAM_ms
1976,1,1,42778,0.13807125
1976,1,2,42779,0.03068585
1976,1,3,42780,0.05489612
1976,1,4,42781,0.06164107
1976,1,5,42782,0.04194663
1976,1,6,42783,0.07222507
1976,1,7,42784,0.02748123
1976,1,8,42785,-0.00040943
1976,1,9,42786,0.04509980
1976,1,10,42787,-0.02271110
1976,1,11,42788,-0.03038571
1976,1,12,42789,-0.00707729
1976,1,13,42790,0.03024574
1976,1,14,42791,0.10872694
1976,1,15,42792,0.10212495
1976,1,16,42793,0.11690264
1976,1,17,42794,0.16503632
1976,1,18,42795,0.16718662
1976,1,19,42796,0.11482742
1976,1,20,42797,0.15160726
1976,1,21,42798,0.17740227
1976,1,22,42799,0.25387902
1976,1,23,42800,0.34389267
1976,1,24,42801,0.37707607
1976,1,25,42802,0.37553705
1976,1,26,42803,0.35649490
1976,1,27,42804,0.29818480
1976,1,28,42805,0.23073916
1976,1,29,42806,0.26609683
1976,1,30,42807,0.28487949
1976,1,31,42808,0.30750434
1976,2,1,42809,0.29857134
1976,2,2,42810,0.25538183
1976,2,3,42811,0.19482755
1976,2,4,42812,0.17874271
1976,2,5,42813,0.17854224
1976,2,6,42814,0.16381213
1976,2,7,42815,0.19084624
1976,2,8,42816,0.17358822
1976,2,9,42817,0.23696040
1976,2,10,42818,0.23493618
1976,2,11,42819,0.15610437
1976,2,12,42820,0.09533973
1976,2,13,42821,0.03737663
1976,2,14,42822,0.01564367
1976,2,15,42823,-0.00874020
1976,2,16,42824,-0.10572706
1976,2,17,42825,-0.08827594
1976,2,18,42826,-0.02411620
1976,2,19,42827,-0.01788252
1976,2,20,42828,0.01377985
1976,2,21,42829,-0.01227170
1976,2,22,42830,0.00819461
1976,2,23,42831,-0.00006226
1976,2,24,42832,0.03377818
1976,2,25,42833,0.06159845
1976,2,26,42834,0.09507167
1976,2,27,42835,0.14615922
1976,2,28,42836,0.16355413
1976,2,29,42837,0.17395314
1976,3,1,42838,0.18075948
1976,3,2,42839,0.21675013
1976,3,3,42840,0.29893494
1976,3,4,42841,0.28897271
1976,3,5,42842,0.31224675
1976,3,6,42843,0.28812987
1976,3,7,42844,0.29307861
1976,3,8,42845,0.26634732
1976,3,9,42846,0.25682438
1976,3,10,42847,0.19992267
1976,3,11,42848,0.20067285
1976,3,12,42849,0.14810671
1976,3,13,42850,0.15602649
1976,3,14,42851,0.19496125
1976,3,15,42852,0.26639559
1976,3,16,42853,0.28733236
1976,3,17,42854,0.31766636
1976,3,18,42855,0.32030836
1976,3,19,42856,0.35963065
1976,3,20,42857,0.33147070
1976,3,21,42858,0.35519173
1976,3,22,42859,0.33076779
1976,3,23,42860,0.36039953
1976,3,24,42861,0.38003068
1976,3,25,42862,0.35620947
1976,3,26,42863,0.33174854
1976,3,27,42864,0.35824111
1976,3,28,42865,0.42114448
1976,3,29,42866,0.39042374
1976,3,30,42867,0.36567667
1976,3,31,42868,0.32163299
1976,4,1,42869,0.36200888
1976,4,2,42870,0.38649810
1976,4,3,42871,0.51295726
1976,4,4,42872,0.60577747
1976,4,5,42873,0.62620833
1976,4,6,42874,0.71776160
1976,4,7,42875,0.74214957
1976,4,8,42876,0.64617303
1976,4,9,42877,0.61385382
1976,4,10,42878,0.59337340
1976,4,11,42879,0.55253019
1976,4,12,42880,0.54107984
1976,4,13,42881,0.47589678
1976,4,14,42882,0.49128290
1976,4,15,42883,0.43024585
1976,4,16,42884,0.35052276
1976,4,17,42885,0.26805722
1976,4,18,42886,0.26712926
1976,4,19,42887,0.25355224
1976,4,20,42888,0.27943178
1976,4,21,42889,0.28516252
1976,4,22,42890,0.33022601
1976,4,23,42891,0.35089980
1976,4,24,42892,0.39941634
1976,4,25,42893,0.39580703
1976,4,26,42894,0.38992173
1976,4,27,42895,0.39471511
1976,4,28,42896,0.47066303
1976,4,29,42897,0.51304514
1976,4,30,42898,0.51134952
1976,5,1,42899,0.51364947
1976,5,2,42900,0.55116532
1976,5,3,42901,0.58283413
1976,5,4,42902,0.53918521
1976,5,5,42903,0.59038934
1976,5,6,42904,0.54424937
1976,5,7,42905,0.59704425
1976,5,8,42906,0.57513007
1976,5,9,42907,0.60869156
1976,5,10,42908,0.63798050
1976,5,11,42909,0.70312702
1976,5,12,42910,0.72173951
1976,5,13,42911,0.69972261
1976,5,14,42912,0.68646030
1976,5,15,42913,0.62296400
1976,5,16,42914,0.53949970
1976,5,17,42915,0.50423156
1976,5,18,42916,0.47451666
1976,5,19,42917,0.43358372
1976,5,20,42918,0.43004200
1976,5,21,42919,0.46223188
1976,5,22,42920,0.48381934
1976,5,23,42921,0.51772576
1976,5,24,42922,0.51388953
1976,5,25,42923,0.53991366
1976,5,26,42924,0.48713118
1976,5,27,42925,0.41351005
1976,5,28,42926,0.32381523
1976,5,29,42927,0.26219449
1976,5,30,42928,0.20717314
1976,5,31,42929,0.20189595
1976,6,1,42930,0.17382356
1976,6,2,42931,0.11348210
1976,6,3,42932,0.11037040
1976,6,4,42933,0.13656567
1976,6,5,42934,0.09845547
1976,6,6,42935,0.05079209
1976,6,7,42936,0.08825988
1976,6,8,42937,0.10140752
1976,6,9,42938,0.09778456
1976,6,10,42939,0.08055675
1976,6,11,42940,0.07689979
1976,6,12,42941,0.06822230
1976,6,13,42942,0.03762184
1976,6,14,42943,-0.04489535
1976,6,15,42944,-0.08581035
1976,6,16,42945,-0.17604324
1976,6,17,42946,-0.16963039
1976,6,18,42947,-0.20464017
1976,6,19,42948,-0.22758405
1976,6,20,42949,-0.23359390
1976,6,21,42950,-0.24156335
1976,6,22,42951,-0.24703316
1976,6,23,42952,-0.28420169
1976,6,24,42953,-0.28502784
1976,6,25,42954,-0.34114944
1976,6,26,42955,-0.42584444
1976,6,27,42956,-0.37906869
1976,6,28,42957,-0.29390028
1976,6,29,42958,-0.25970599
1976,6,30,42959,-0.18856209
1976,7,1,42960,-0.15145378
1976,7,2,42961,-0.10852311
1976,7,3,42962,-0.07148360
1976,7,4,42963,-0.08718868
1976,7,5,42964,-0.12136839
1976,7,6,42965,-0.15785285
1976,7,7,42966,-0.21564512
1976,7,8,42967,-0.21567392
1976,7,9,42968,-0.22407911
1976,7,10,42969,-0.25396396
1976,7,11,42970,-0.23170086
1976,7,12,42971,-0.21625038
1976,7,13,42972,-0.23555620
1976,7,14,42973,-0.26983987
1976,7,15,42974,-0.34482665
1976,7,16,42975,-0.33440203
1976,7,17,42976,-0.26899029
1976,7,18,42977,-0.26754344
1976,7,19,42978,-0.29327593
1976,7,20,42979,-0.35242771
1976,7,21,42980,-0.28094504
1976,7,22,42981,-0.27910554
1976,7,23,42982,-0.32402273
1976,7,24,42983,-0.33258990
1976,7,25,42984,-0.38010509
1976,7,26,42985,-0.37535725
1976,7,27,42986,-0.36545006
1976,7,28,42987,-0.35162814
1976,7,29,42988,-0.33887287
1976,7,30,42989,-0.33157635
1976,7,31,42990,-0.25522406
1976,8,1,42991,-0.23694510
1976,8,2,42992,-0.23255017
1976,8,3,42993,-0.18983505
1976,8,4,42994,-0.14085088
1976,8,5,42995,-0.14732375
1976,8,6,42996,-0.19828298
1976,8,7,42997,-0.24387882
1976,8,8,42998,-0.34651083
1976,8,9,42999,-0.36677116
1976,8,10,43000,-0.33446426
1976,8,11,43001,-0.38574149
1976,8,12,43002,-0.46781400
1976,8,13,43003,-0.47954755
1976,8,14,43004,-0.47516770
1976,8,15,43005,-0.43680950
1976,8,16,43006,-0.42929413
1976,8,17,43007,-0.48390982
1976,8,18,43008,-0.55554302
1976,8,19,43009,-0.63278173
1976,8,20,43010,-0.63067628
1976,8,21,43011,-0.55863198
1976,8,22,43012,-0.49666937
1976,8,23,43013,-0.40977877
1976,8,24,43014,-0.43488910
1976,8,25,43015,-0.39132793
1976,8,26,43016,-0.35437737
1976,8,27,43017,-0.32456211
1976,8,28,43018,-0.30269941
1976,8,29,43019,-0.23277749
1976,8,30,43020,-0.18562283
1976,8,31,43021,-0.16491303
1976,9,1,43022,-0.14586948
1976,9,2,43023,-0.12361032
1976,9,3,43024,-0.13397983
1976,9,4,43025,-0.14687205
1976,9,5,43026,-0.11317175
1976,9,6,43027,-0.07308556
1976,9,7,43028,-0.09819132
1976,9,8,43029,-0.09918845
1976,9,9,43030,-0.03940956
1976,9,10,43031,-0.01695940
1976,9,11,43032,0.01476977
1976,9,12,43033,0.01645013
1976,9,13,43034,0.08210490
1976,9,14,43035,0.10366124
1976,9,15,43036,0.15422502
1976,9,16,43037,0.15019417
1976,9,17,43038,0.16050572
1976,9,18,43039,0.20466264
1976,9,19,43040,0.24421768
1976,9,20,43041,0.25897872
1976,9,21,43042,0.29321341
1976,9,22,43043,0.32624391
1976,9,23,43044,0.34299303
1976,9,24,43045,0.33288023
1976,9,25,43046,0.31794588
1976,9,26,43047,0.36435674
1976,9,27,43048,0.39689223
1976,9,28,43049,0.42452696
1976,9,29,43050,0.38693374
1976,9,30,43051,0.37897284
1976,10,1,43052,0.31472097
1976,10,2,43053,0.38950012
1976,10,3,43054,0.38791730
1976,10,4,43055,0.35680797
1976,10,5,43056,0.30098210
1976,10,6,43057,0.29918051
1976,10,7,43058,0.30374324
1976,10,8,43059,0.30344678
1976,10,9,43060,0.29527373
1976,10,10,43061,0.35802933
1976,10,11,43062,0.41416261
1976,10,12,43063,0.44238240
1976,10,13,43064,0.48489083
1976,10,14,43065,0.54358539
1976,10,15,43066,0.58838052
1976,10,16,43067,0.57396478
1976,10,17,43068,0.48204447
1976,10,18,43069,0.42360139
1976,10,19,43070,0.42234439
1976,10,20,43071,0.41645984
1976,10,21,43072,0.50787478
1976,10,22,43073,0.46648358
1976,10,23,43074,0.41981386
1976,10,24,43075,0.40430312
1976,10,25,43076,0.43815413
1976,10,26,43077,0.45135689
1976,10,27,43078,0.42794441
1976,10,28,43079,0.42621207
1976,10,29,43080,0.43670391
1976,10,30,43081,0.41093778
1976,10,31,43082,0.45575536
1976,11,1,43083,0.41757826
1976,11,2,43084,0.36057172
1976,11,3,43085,0.31955175
1976,11,4,43086,0.32335255
1976,11,5,43087,0.26840648
1976,11,6,43088,0.28753868
1976,11,7,43089,0.31225280
1976,11,8,43090,0.33024109
1976,11,9,43091,0.35933955
1976,11,10,43092,0.37322088
1976,11,11,43093,0.39994717
1976,11,12,43094,0.38730114
1976,11,13,43095,0.38990774
1976,11,14,43096,0.39415485
1976,11,15,43097,0.32539733
1976,11,16,43098,0.22540857
1976,11,17,43099,0.21963513
1976,11,18,43100,0.20535783
1976,11,19,43101,0.21517768
1976,11,20,43102,0.21078818
1976,11,21,43103,0.23285160
1976,11,22,43104,0.28752871
1976,11,23,43105,0.35538108
1976,11,24,43106,0.31503703
1976,11,25,43107,0.31941480
1976,11,26,43108,0.34012670
1976,11,27,43109,0.38893203
1976,11,28,43110,0.44671924
1976,11,29,43111,0.40418777
1976,11,30,43112,0.38511035
1976,12,1,43113,0.33186818
1976,12,2,43114,0.31437011
1976,12,3,43115,0.26658497
1976,12,4,43116,0.27515733
1976,12,5,43117,0.24481243
1976,12,6,43118,0.25616923
1976,12,7,43119,0.24560208
1976,12,8,43120,0.32107545
1976,12,9,43121,0.34104909
1976,12,10,43122,0.34984399
1976,12,11,43123,0.34120687
1976,12,12,43124,0.43215780
1976,12,13,43125,0.49909948
1976,12,14,43126,0.51150737
1976,12,15,43127,0.50798900
1976,12,16,43128,0.45094625
1976,12,17,43129,0.43496996
1976,12,18,43130,0.41531958
1976,12,19,43131,0.39253173
1976,12,20,43132,0.35139391
1976,12,21,43133,0.30901025
1976,12,22,43134,0.31776133
1976,12,23,43135,0.24180385
1976,12,24,43136,0.21267809
1976,12,25,43137,0.23792800
1976,12,26,43138,0.22978773
1976,12,27,43139,0.20697051
1976,12,28,43140,0.20495379
1976,12,29,43141,0.22072018
1976,12,30,43142,0.18659107
1976,12,31,43143,0.15753605
1977,1,1,43144,0.11756473
1977,1,2,43145,0.11861037
1977,1,3,43146,0.12845509
1977,1,4,43147,0.10149572
1977,1,5,43148,0.05799565
1977,1,6,43149,0.11616367
1977,1,7,43150,0.11351144
1977,1,8,43151,0.16166772
