Year,Month,Day,MJD,HAM_ms
1977,1,1,43144,0.27895096
1977,1,2,43145,0.28167720
1977,1,3,43146,0.28489368
1977,1,4,43147,0.28600421
1977,1,5,43148,0.28674189
1977,1,6,43149,0.28823973
1977,1,7,43150,0.28852991
1977,1,8,43151,0.28749941
1977,1,9,43152,0.28684739
1977,1,10,43153,0.28526334
1977,1,11,43154,0.28390249
1977,1,12,43155,0.28301145
1977,1,13,43156,0.28167637
1977,1,14,43157,0.28127812
1977,1,15,43158,0.28005984
1977,1,16,43159,0.27972159
1977,1,17,43160,0.28061929
1977,1,18,43161,0.28083342
1977,1,19,43162,0.28053234
1977,1,20,43163,0.28032295
1977,1,21,43164,0.28142790
1977,1,22,43165,0.28177739
1977,1,23,43166,0.28189432
1977,1,24,43167,0.28322372
1977,1,25,43168,0.28358606
1977,1,26,43169,0.28348160
1977,1,27,43170,0.28321834
1977,1,28,43171,0.28257558
1977,1,29,43172,0.28299683
1977,1,30,43173,0.28414814
1977,1,31,43174,0.28590424
1977,2,1,43175,0.28770109
1977,2,2,43176,0.29075727
1977,2,3,43177,0.29379818
1977,2,4,43178,0.29701201
1977,2,5,43179,0.29876849
1977,2,6,43180,0.30075164
1977,2,7,43181,0.30233410
1977,2,8,43182,0.30396389
1977,2,9,43183,0.30438420
1977,2,10,43184,0.30553155
1977,2,11,43185,0.30661008
1977,2,12,43186,0.30700671
1977,2,13,43187,0.30723736
1977,2,14,43188,0.30939470
1977,2,15,43189,0.31081416
1977,2,16,43190,0.31142320
1977,2,17,43191,0.31293856
1977,2,18,43192,0.31514263
1977,2,19,43193,0.31779824
1977,2,20,43194,0.32112405
1977,2,21,43195,0.32482901
1977,2,22,43196,0.32856798
1977,2,23,43197,0.33136789
1977,2,24,43198,0.33450433
1977,2,25,43199,0.33882856
1977,2,26,43200,0.34158043
1977,2,27,43201,0.34391432
1977,2,28,43202,0.34538985
1977,3,1,43203,0.34734811
1977,3,2,43204,0.34826460
1977,3,3,43205,0.35116034
1977,3,4,43206,0.35276427
1977,3,5,43207,0.35287108
1977,3,6,43208,0.35227462
1977,3,7,43209,0.34997052
1977,3,8,43210,0.34796779
1977,3,9,43211,0.34573353
1977,3,10,43212,0.34499296
1977,3,11,43213,0.34452208
1977,3,12,43214,0.34533776
1977,3,13,43215,0.34660149
1977,3,14,43216,0.34686463
1977,3,15,43217,0.34765470
1977,3,16,43218,0.34859654
1977,3,17,43219,0.34999535
1977,3,18,43220,0.35126463
1977,3,19,43221,0.35226818
1977,3,20,43222,0.35309996
1977,3,21,43223,0.35302257
1977,3,22,43224,0.35401359
1977,3,23,43225,0.35646924
1977,3,24,43226,0.35860405
1977,3,25,43227,0.35951060
1977,3,26,43228,0.36091091
1977,3,27,43229,0.36334657
1977,3,28,43230,0.36741932
1977,3,29,43231,0.37077654
1977,3,30,43232,0.37389018
1977,3,31,43233,0.37584526
1977,4,1,43234,0.37810209
1977,4,2,43235,0.38049464
1977,4,3,43236,0.38283889
1977,4,4,43237,0.38574219
1977,4,5,43238,0.38883196
1977,4,6,43239,0.39057360
1977,4,7,43240,0.39475248
1977,4,8,43241,0.39743107
1977,4,9,43242,0.40099515
1977,4,10,43243,0.40207257
1977,4,11,43244,0.40102867
1977,4,12,43245,0.40069342
1977,4,13,43246,0.40078301
1977,4,14,43247,0.39966342
1977,4,15,43248,0.39782681
1977,4,16,43249,0.39720799
1977,4,17,43250,0.39684426
1977,4,18,43251,0.39684831
1977,4,19,43252,0.39574655
1977,4,20,43253,0.39522904
1977,4,21,43254,0.39382766
1977,4,22,43255,0.39321083
1977,4,23,43256,0.39385588
1977,4,24,43257,0.39416915
1977,4,25,43258,0.39286447
1977,4,26,43259,0.39325355
1977,4,27,43260,0.39334186
1977,4,28,43261,0.39278616
1977,4,29,43262,0.39161682
1977,4,30,43263,0.38999991
1977,5,1,43264,0.38793589
1977,5,2,43265,0.38741959
1977,5,3,43266,0.38587865
1977,5,4,43267,0.38359393
1977,5,5,43268,0.38316730
1977,5,6,43269,0.38255865
1977,5,7,43270,0.38182523
1977,5,8,43271,0.38066409
1977,5,9,43272,0.37915897
1977,5,10,43273,0.37738568
1977,5,11,43274,0.37505891
1977,5,12,43275,0.37327028
1977,5,13,43276,0.37290613
1977,5,14,43277,0.37349823
1977,5,15,43278,0.37266840
1977,5,16,43279,0.37239782
1977,5,17,43280,0.37363643
1977,5,18,43281,0.37039891
1977,5,19,43282,0.36638077
1977,5,20,43283,0.36202889
1977,5,21,43284,0.35976343
1977,5,22,43285,0.35838528
1977,5,23,43286,0.35657085
1977,5,24,43287,0.35511505
1977,5,25,43288,0.35400707
1977,5,26,43289,0.35329645
1977,5,27,43290,0.35232924
1977,5,28,43291,0.35089969
1977,5,29,43292,0.35060056
1977,5,30,43293,0.35046651
1977,5,31,43294,0.35108194
1977,6,1,43295,0.35035362
1977,6,2,43296,0.34992499
1977,6,3,43297,0.34773417
1977,6,4,43298,0.34571500
1977,6,5,43299,0.34475568
1977,6,6,43300,0.34337662
1977,6,7,43301,0.34162550
1977,6,8,43302,0.34144524
1977,6,9,43303,0.34163846
1977,6,10,43304,0.34104843
1977,6,11,43305,0.34013177
1977,6,12,43306,0.33947490
1977,6,13,43307,0.33795246
1977,6,14,43308,0.33537170
1977,6,15,43309,0.33284465
1977,6,16,43310,0.33026010
1977,6,17,43311,0.32831060
1977,6,18,43312,0.32754535
1977,6,19,43313,0.32651349
1977,6,20,43314,0.32442040
1977,6,21,43315,0.32380954
1977,6,22,43316,0.32345919
1977,6,23,43317,0.32134942
1977,6,24,43318,0.32113272
1977,6,25,43319,0.31847497
1977,6,26,43320,0.31605704
1977,6,27,43321,0.31363967
1977,6,28,43322,0.31132582
1977,6,29,43323,0.30918469
1977,6,30,43324,0.30752486
1977,7,1,43325,0.30712576
1977,7,2,43326,0.30542580
1977,7,3,43327,0.30299684
1977,7,4,43328,0.30092423
1977,7,5,43329,0.29869662
1977,7,6,43330,0.29671841
1977,7,7,43331,0.29404565
1977,7,8,43332,0.29173491
1977,7,9,43333,0.29022426
1977,7,10,43334,0.28804681
1977,7,11,43335,0.28478549
1977,7,12,43336,0.28186277
1977,7,13,43337,0.27917152
1977,7,14,43338,0.27606942
1977,7,15,43339,0.27382964
1977,7,16,43340,0.27139849
1977,7,17,43341,0.26886814
1977,7,18,43342,0.26766113
1977,7,19,43343,0.26637587
1977,7,20,43344,0.26570969
1977,7,21,43345,0.26541555
1977,7,22,43346,0.26529110
1977,7,23,43347,0.26424996
1977,7,24,43348,0.26252822
1977,7,25,43349,0.26133009
1977,7,26,43350,0.25984015
1977,7,27,43351,0.25855330
1977,7,28,43352,0.25735315
1977,7,29,43353,0.25684906
1977,7,30,43354,0.25568198
1977,7,31,43355,0.25327784
1977,8,1,43356,0.25060481
1977,8,2,43357,0.24799615
1977,8,3,43358,0.24558458
1977,8,4,43359,0.24307200
1977,8,5,43360,0.24116072
1977,8,6,43361,0.23941625
1977,8,7,43362,0.23753374
1977,8,8,43363,0.23658443
1977,8,9,43364,0.23475536
