Year,Month,Day,MJD,OAM_ms
1977,1,1,43144,-0.00244321
1977,1,2,43145,-0.00891940
1977,1,3,43146,-0.04466221
1977,1,4,43147,-0.03407808
1977,1,5,43148,-0.02243760
1977,1,6,43149,-0.02674176
1977,1,7,43150,-0.05225901
1977,1,8,43151,-0.05641703
1977,1,9,43152,-0.07225805
1977,1,10,43153,-0.01994476
1977,1,11,43154,-0.00000604
1977,1,12,43155,-0.00692589
1977,1,13,43156,-0.01053169
1977,1,14,43157,-0.03496866
1977,1,15,43158,-0.02661672
1977,1,16,43159,-0.02271085
1977,1,17,43160,-0.05561392
1977,1,18,43161,-0.01959713
1977,1,19,43162,0.03029404
1977,1,20,43163,-0.00296669
1977,1,21,43164,-0.04215876
1977,1,22,43165,0.01157990
1977,1,23,43166,0.01117652
1977,1,24,43167,0.00509112
1977,1,25,43168,-0.02083087
1977,1,26,43169,-0.04017506
1977,1,27,43170,-0.05648899
1977,1,28,43171,-0.05722267
1977,1,29,43172,-0.03832537
1977,1,30,43173,-0.00797448
1977,1,31,43174,-0.02391707
1977,2,1,43175,0.00607081
1977,2,2,43176,0.00834590
1977,2,3,43177,-0.01566205
1977,2,4,43178,-0.00569675
1977,2,5,43179,-0.01760648
1977,2,6,43180,-0.01963537
1977,2,7,43181,-0.00838944
1977,2,8,43182,-0.01513043
1977,2,9,43183,-0.00909418
1977,2,10,43184,0.01665621
1977,2,11,43185,-0.00105519
1977,2,12,43186,0.03947235
1977,2,13,43187,-0.00216689
1977,2,14,43188,0.01478820
1977,2,15,43189,-0.00769909
1977,2,16,43190,0.01401886
1977,2,17,43191,-0.00197175
1977,2,18,43192,-0.03635639
1977,2,19,43193,-0.01400538
1977,2,20,43194,-0.01955670
1977,2,21,43195,-0.05198922
1977,2,22,43196,-0.05657853
1977,2,23,43197,-0.01280089
1977,2,24,43198,-0.03814582
1977,2,25,43199,-0.02066902
1977,2,26,43200,-0.02899852
1977,2,27,43201,-0.03065550
1977,2,28,43202,-0.00533505
1977,3,1,43203,-0.01395041
1977,3,2,43204,0.02508646
1977,3,3,43205,-0.00512011
1977,3,4,43206,0.01699449
1977,3,5,43207,0.02729525
1977,3,6,43208,0.01170513
1977,3,7,43209,0.00622656
1977,3,8,43210,-0.01730774
1977,3,9,43211,-0.02569441
1977,3,10,43212,-0.03631860
1977,3,11,43213,-0.04449975
1977,3,12,43214,-0.03852869
1977,3,13,43215,-0.03633579
1977,3,14,43216,-0.04526056
1977,3,15,43217,-0.05476904
1977,3,16,43218,-0.06293860
1977,3,17,43219,-0.04253323
1977,3,18,43220,-0.04237755
1977,3,19,43221,-0.01665829
1977,3,20,43222,0.01754014
1977,3,21,43223,-0.01192934
1977,3,22,43224,0.00742837
1977,3,23,43225,0.00653189
1977,3,24,43226,-0.01524210
1977,3,25,43227,-0.04165729
1977,3,26,43228,-0.01588166
1977,3,27,43229,-0.01740752
1977,3,28,43230,-0.03083078
1977,3,29,43231,0.00396211
1977,3,30,43232,0.01098864
1977,3,31,43233,-0.00167683
1977,4,1,43234,-0.02757009
1977,4,2,43235,-0.02116887
1977,4,3,43236,0.00589036
1977,4,4,43237,0.00865148
1977,4,5,43238,-0.00747685
1977,4,6,43239,0.01942660
1977,4,7,43240,0.02212130
1977,4,8,43241,0.02708437
1977,4,9,43242,0.01649901
1977,4,10,43243,0.02508313
1977,4,11,43244,0.01357275
1977,4,12,43245,0.00723248
1977,4,13,43246,-0.01744715
1977,4,14,43247,-0.00064077
1977,4,15,43248,-0.03446417
1977,4,16,43249,-0.04597441
1977,4,17,43250,-0.03522267
1977,4,18,43251,-0.00225549
1977,4,19,43252,-0.05222579
1977,4,20,43253,-0.01310370
1977,4,21,43254,-0.02097971
1977,4,22,43255,-0.02642794
1977,4,23,43256,-0.04450942
1977,4,24,43257,-0.04300811
1977,4,25,43258,-0.02602602
1977,4,26,43259,-0.03182536
1977,4,27,43260,-0.01456736
1977,4,28,43261,-0.00222220
1977,4,29,43262,0.00252039
1977,4,30,43263,0.00708820
1977,5,1,43264,-0.01525076
1977,5,2,43265,-0.03455365
1977,5,3,43266,-0.04313095
1977,5,4,43267,-0.02106516
1977,5,5,43268,-0.04759452
1977,5,6,43269,-0.04660027
1977,5,7,43270,-0.06013116
1977,5,8,43271,-0.01670108
1977,5,9,43272,-0.05391695
1977,5,10,43273,-0.03021748
1977,5,11,43274,-0.04556174
1977,5,12,43275,-0.05655802
1977,5,13,43276,-0.03542815
1977,5,14,43277,-0.02687028
1977,5,15,43278,-0.06200819
1977,5,16,43279,-0.04050780
1977,5,17,43280,0.00320143
1977,5,18,43281,-0.03728765
1977,5,19,43282,-0.03208418
1977,5,20,43283,-0.00390800
1977,5,21,43284,0.03166171
1977,5,22,43285,0.03706460
1977,5,23,43286,0.01002417
1977,5,24,43287,-0.00562225
1977,5,25,43288,0.01586325
1977,5,26,43289,-0.01042441
1977,5,27,43290,-0.01648900
1977,5,28,43291,-0.01628428
1977,5,29,43292,0.04816087
1977,5,30,43293,0.00541672
1977,5,31,43294,0.01815049
1977,6,1,43295,0.02345118
1977,6,2,43296,0.01260008
1977,6,3,43297,-0.05237583
1977,6,4,43298,-0.00698428
1977,6,5,43299,0.01785520
1977,6,6,43300,0.01978129
