Year,Month,Day,MJD,SLAM_ms
1976,1,2,42779,-0.15298733
1976,1,3,42780,-0.14513772
1976,1,4,42781,-0.14436392
1976,1,5,42782,-0.13991526
1976,1,6,42783,-0.13568161
1976,1,7,42784,-0.14248901
1976,1,8,42785,-0.15865000
1976,1,9,42786,-0.15331995
1976,1,10,42787,-0.13727949
1976,1,11,42788,-0.13528784
1976,1,12,42789,-0.13981232
1976,1,13,42790,-0.15354873
1976,1,14,42791,-0.17481335
1976,1,15,42792,-0.18670306
1976,1,16,42793,-0.18545273
1976,1,17,42794,-0.18188476
1976,1,18,42795,-0.17919998
1976,1,19,42796,-0.18252470
1976,1,20,42797,-0.18924752
1976,1,21,42798,-0.18972930
1976,1,22,42799,-0.18148075
1976,1,23,42800,-0.16899368
1976,1,24,42801,-0.15841000
1976,1,25,42802,-0.15152200
1976,1,26,42803,-0.14990346
1976,1,27,42804,-0.15073537
1976,1,28,42805,-0.16341532
1976,1,29,42806,-0.17161878
1976,1,30,42807,-0.16033377
1976,1,31,42808,-0.15762863
1976,2,1,42809,-0.17535484
1976,2,2,42810,-0.19389455
1976,2,3,42811,-0.19419324
1976,2,4,42812,-0.20026748
1976,2,5,42813,-0.21174364
1976,2,6,42814,-0.20532083
1976,2,7,42815,-0.21018192
1976,2,8,42816,-0.22547974
1976,2,9,42817,-0.23469162
1976,2,10,42818,-0.22639885
1976,2,11,42819,-0.20991062
1976,2,12,42820,-0.22038569
1976,2,13,42821,-0.23549490
1976,2,14,42822,-0.24810425
1976,2,15,42823,-0.26637972
1976,2,16,42824,-0.27041866
1976,2,17,42825,-0.26665565
1976,2,18,42826,-0.26888210
1976,2,19,42827,-0.26378973
1976,2,20,42828,-0.25620532
1976,2,21,42829,-0.25843125
1976,2,22,42830,-0.25434258
1976,2,23,42831,-0.24514440
1976,2,24,42832,-0.25000725
1976,2,25,42833,-0.27096688
1976,2,26,42834,-0.27594572
1976,2,27,42835,-0.25694263
1976,2,28,42836,-0.25347282
1976,2,29,42837,-0.25708134
1976,3,1,42838,-0.24667341
1976,3,2,42839,-0.24617806
1976,3,3,42840,-0.24770831
1976,3,4,42841,-0.25763022
1976,3,5,42842,-0.29139345
1976,3,6,42843,-0.31085363
1976,3,7,42844,-0.29736363
1976,3,8,42845,-0.27646287
1976,3,9,42846,-0.27138342
1976,3,10,42847,-0.26676178
1976,3,11,42848,-0.25964504
1976,3,12,42849,-0.26560999
1976,3,13,42850,-0.28170425
1976,3,14,42851,-0.29961157
1976,3,15,42852,-0.30853605
1976,3,16,42853,-0.29835357
1976,3,17,42854,-0.28477963
1976,3,18,42855,-0.28215824
1976,3,19,42856,-0.29370589
1976,3,20,42857,-0.30718770
1976,3,21,42858,-0.30711046
1976,3,22,42859,-0.30278150
1976,3,23,42860,-0.29776653
1976,3,24,42861,-0.29807997
1976,3,25,42862,-0.30258200
1976,3,26,42863,-0.31210210
1976,3,27,42864,-0.31914371
1976,3,28,42865,-0.32121239
1976,3,29,42866,-0.32437847
1976,3,30,42867,-0.30216129
1976,3,31,42868,-0.27418250
1976,4,1,42869,-0.27504326
1976,4,2,42870,-0.27926858
1976,4,3,42871,-0.28275980
1976,4,4,42872,-0.30280963
1976,4,5,42873,-0.32397397
1976,4,6,42874,-0.32667303
1976,4,7,42875,-0.30682306
1976,4,8,42876,-0.27315020
1976,4,9,42877,-0.25394562
1976,4,10,42878,-0.25859901
1976,4,11,42879,-0.26641002
1976,4,12,42880,-0.28467539
1976,4,13,42881,-0.30613377
1976,4,14,42882,-0.30035993
1976,4,15,42883,-0.28619808
1976,4,16,42884,-0.28416711
1976,4,17,42885,-0.28553848
1976,4,18,42886,-0.29292578
1976,4,19,42887,-0.30900895
1976,4,20,42888,-0.32121881
1976,4,21,42889,-0.32560700
1976,4,22,42890,-0.33781985
1976,4,23,42891,-0.34485842
1976,4,24,42892,-0.33475183
1976,4,25,42893,-0.32347357
1976,4,26,42894,-0.31755321
1976,4,27,42895,-0.31229889
1976,4,28,42896,-0.29478360
1976,4,29,42897,-0.27249522
1976,4,30,42898,-0.26870818
1976,5,1,42899,-0.27114462
1976,5,2,42900,-0.25273924
1976,5,3,42901,-0.23962844
1976,5,4,42902,-0.24080848
1976,5,5,42903,-0.24739159
1976,5,6,42904,-0.26328490
1976,5,7,42905,-0.27398977
1976,5,8,42906,-0.26356702
1976,5,9,42907,-0.24042668
1976,5,10,42908,-0.22286527
1976,5,11,42909,-0.22107945
1976,5,12,42910,-0.23763644
1976,5,13,42911,-0.24745830
1976,5,14,42912,-0.25725068
1976,5,15,42913,-0.27155103
1976,5,16,42914,-0.26721297
1976,5,17,42915,-0.24959899
1976,5,18,42916,-0.23038569
1976,5,19,42917,-0.21814891
1976,5,20,42918,-0.21251784
1976,5,21,42919,-0.22331940
1976,5,22,42920,-0.24710275
1976,5,23,42921,-0.25515868
1976,5,24,42922,-0.24334494
1976,5,25,42923,-0.22389251
1976,5,26,42924,-0.20433609
1976,5,27,42925,-0.19033049
1976,5,28,42926,-0.18796043
1976,5,29,42927,-0.18678002
1976,5,30,42928,-0.18489538
1976,5,31,42929,-0.19687724
1976,6,1,42930,-0.20051717
1976,6,2,42931,-0.18213729
1976,6,3,42932,-0.17231542
1976,6,4,42933,-0.17804236
1976,6,5,42934,-0.18925981
1976,6,6,42935,-0.19987495
1976,6,7,42936,-0.21170988
1976,6,8,42937,-0.21453320
1976,6,9,42938,-0.20092323
1976,6,10,42939,-0.18941155
1976,6,11,42940,-0.19288661
1976,6,12,42941,-0.20836696
1976,6,13,42942,-0.21885033
1976,6,14,42943,-0.21316771
1976,6,15,42944,-0.18519788
1976,6,16,42945,-0.15581658
1976,6,17,42946,-0.14954129
1976,6,18,42947,-0.14589280
1976,6,19,42948,-0.14257810
1976,6,20,42949,-0.13558212
1976,6,21,42950,-0.11554048
1976,6,22,42951,-0.12285572
1976,6,23,42952,-0.14425548
1976,6,24,42953,-0.12829126
1976,6,25,42954,-0.10339012
1976,6,26,42955,-0.09651108
1976,6,27,42956,-0.09515675
1976,6,28,42957,-0.09795021
1976,6,29,42958,-0.09953079
1976,6,30,42959,-0.10145256
1976,7,1,42960,-0.10521135
1976,7,2,42961,-0.10997769
1976,7,3,42962,-0.11218670
1976,7,4,42963,-0.11241388
1976,7,5,42964,-0.11238386
1976,7,6,42965,-0.09904066
1976,7,7,42966,-0.08264956
1976,7,8,42967,-0.09244353
1976,7,9,42968,-0.11391286
1976,7,10,42969,-0.11938472
1976,7,11,42970,-0.10363163
1976,7,12,42971,-0.09255250
1976,7,13,42972,-0.08988334
1976,7,14,42973,-0.08026738
1976,7,15,42974,-0.07817191
1976,7,16,42975,-0.08749461
1976,7,17,42976,-0.09053291
1976,7,18,42977,-0.08063084
1976,7,19,42978,-0.08702033
1976,7,20,42979,-0.09948721
1976,7,21,42980,-0.09868635
1976,7,22,42981,-0.09042159
1976,7,23,42982,-0.06251972
1976,7,24,42983,-0.03547590
1976,7,25,42984,-0.02991281
1976,7,26,42985,-0.02548881
1976,7,27,42986,-0.01877838
1976,7,28,42987,-0.01029364
1976,7,29,42988,0.01242083
1976,7,30,42989,0.01242337
1976,7,31,42990,-0.01507359
1976,8,1,42991,-0.02815247
1976,8,2,42992,-0.04967359
1976,8,3,42993,-0.07020408
1976,8,4,42994,-0.05859154
1976,8,5,42995,-0.04450852
1976,8,6,42996,-0.03092975
1976,8,7,42997,-0.00585814
1976,8,8,42998,0.00007241
1976,8,9,42999,-0.01734703
1976,8,10,43000,-0.04665916
1976,8,11,43001,-0.07372735
1976,8,12,43002,-0.06228060
1976,8,13,43003,-0.04832419
1976,8,14,43004,-0.07771356
1976,8,15,43005,-0.09912554
1976,8,16,43006,-0.09697487
1976,8,17,43007,-0.08792196
1976,8,18,43008,-0.05793717
1976,8,19,43009,-0.04229827
1976,8,20,43010,-0.05636412
1976,8,21,43011,-0.05890133
1976,8,22,43012,-0.04533077
1976,8,23,43013,-0.03176353
1976,8,24,43014,-0.02125084
1976,8,25,43015,-0.02087544
1976,8,26,43016,-0.02306910
1976,8,27,43017,-0.01405671
1976,8,28,43018,-0.02108995
1976,8,29,43019,-0.04026557
1976,8,30,43020,-0.04130918
1976,8,31,43021,-0.04078713
1976,9,1,43022,-0.03055332
1976,9,2,43023,-0.00965862
1976,9,3,43024,-0.00631296
1976,9,4,43025,-0.01412982
1976,9,5,43026,-0.02296329
1976,9,6,43027,-0.04557552
1976,9,7,43028,-0.05938816
1976,9,8,43029,-0.07095304
1976,9,9,43030,-0.09489074
1976,9,10,43031,-0.11028893
1976,9,11,43032,-0.12271278
1976,9,12,43033,-0.11210617
1976,9,13,43034,-0.08359922
1976,9,14,43035,-0.06988407
1976,9,15,43036,-0.06519864
1976,9,16,43037,-0.04494391
1976,9,17,43038,-0.01860462
1976,9,18,43039,-0.01562909
1976,9,19,43040,-0.01492284
1976,9,20,43041,-0.00590334
1976,9,21,43042,-0.01083462
1976,9,22,43043,-0.01359392
1976,9,23,43044,-0.00127125
1976,9,24,43045,0.01472607
1976,9,25,43046,0.01668393
1976,9,26,43047,0.00922526
1976,9,27,43048,0.00149484
1976,9,28,43049,-0.00767485
1976,9,29,43050,0.00127370
1976,9,30,43051,0.02123832
