Year,Month,Day,MJD,UT1R-TAI
1962,1,1,37665.0,-9.8650337127377
1962,1,2,37666.0,-9.865562581615745
1962,1,3,37667.0,-9.866058788175662
1962,1,4,37668.0,-9.866526025284164
1962,1,5,37669.0,-9.86697527558834
1962,1,6,37670.0,-9.86740891269032
1962,1,7,37671.0,-9.867804265343423
1962,1,8,37672.0,-9.868180139145258
1962,1,9,37673.0,-9.86851332485233
1962,1,10,37674.0,-9.868808737372971
1962,1,11,37675.0,-9.869065422102189
1962,1,12,37676.0,-9.869280084192447
1962,1,13,37677.0,-9.869451503535071
1962,1,14,37678.0,-9.869570881648809
1962,1,15,37679.0,-9.869641156378218
1962,1,16,37680.0,-9.86966539747397
1962,1,17,37681.0,-9.869655968339147
1962,1,18,37682.0,-9.869607167808608
1962,1,19,37683.0,-9.869531957703808
1962,1,20,37684.0,-9.869420446265654
1962,1,21,37685.0,-9.869271460086496
1962,1,22,37686.0,-9.869082022415617
1962,1,23,37687.0,-9.868880087551718
1962,1,24,37688.0,-9.868660836470509
1962,1,25,37689.0,-9.86843288593075
1962,1,26,37690.0,-9.868202301407607
1962,1,27,37691.0,-9.86796833135246
1962,1,28,37692.0,-9.867733864109974
1962,1,29,37693.0,-9.86751943398475
1962,1,30,37694.0,-9.867327576315997
1962,1,31,37695.0,-9.867183062025084
1962,2,1,37696.0,-9.867086870413722
1962,2,2,37697.0,-9.867012008009532
1962,2,3,37698.0,-9.86698620128557
1962,2,4,37699.0,-9.86699909937432
1962,2,5,37700.0,-9.867057445303692
1962,2,6,37701.0,-9.867149046945638
1962,2,7,37702.0,-9.867268806125294
1962,2,8,37703.0,-9.867395410963889
1962,2,9,37704.0,-9.86752735771106
1962,2,10,37705.0,-9.867675862230696
1962,2,11,37706.0,-9.867831484006933
1962,2,12,37707.0,-9.86797836779263
1962,2,13,37708.0,-9.868121012130159
1962,2,14,37709.0,-9.868262863447063
1962,2,15,37710.0,-9.868365926186295
1962,2,16,37711.0,-9.868461536352417
1962,2,17,37712.0,-9.868551734517537
1962,2,18,37713.0,-9.868622968443008
1962,2,19,37714.0,-9.86868182601005
1962,2,20,37715.0,-9.868687155020838
1962,2,21,37716.0,-9.868683825036317
1962,2,22,37717.0,-9.868660170348877
1962,2,23,37718.0,-9.86862569641722
1962,2,24,37719.0,-9.868579844833558
1962,2,25,37720.0,-9.868544943546585
1962,2,26,37721.0,-9.868515372606103
1962,2,27,37722.0,-9.868502700748763
1962,2,28,37723.0,-9.86849127858209
1962,3,1,37724.0,-9.868501437844223
1962,3,2,37725.0,-9.868545053879961
1962,3,3,37726.0,-9.868591121525728
1962,3,4,37727.0,-9.86865735465103
1962,3,5,37728.0,-9.868739823183162
1962,3,6,37729.0,-9.86881645404892
1962,3,7,37730.0,-9.868893282898156
1962,3,8,37731.0,-9.868968646094924
1962,3,9,37732.0,-9.869044827330008
1962,3,10,37733.0,-9.869120510480599
1962,3,11,37734.0,-9.86920132156573
1962,3,12,37735.0,-9.869289910079223
1962,3,13,37736.0,-9.869390511247149
1962,3,14,37737.0,-9.869506929400679
1962,3,15,37738.0,-9.869640421743043
1962,3,16,37739.0,-9.86978285380277
1962,3,17,37740.0,-9.869941722757526
1962,3,18,37741.0,-9.870116035835398
1962,3,19,37742.0,-9.870291478692758
1962,3,20,37743.0,-9.870475388438335
1962,3,21,37744.0,-9.870644581735593
1962,3,22,37745.0,-9.87081752084829
1962,3,23,37746.0,-9.870965980202456
1962,3,24,37747.0,-9.871119036158436
1962,3,25,37748.0,-9.87126161644186
1962,3,26,37749.0,-9.87139672972379
1962,3,27,37750.0,-9.871516698170181
1962,3,28,37751.0,-9.871633878561898
1962,3,29,37752.0,-9.871760945345976
1962,3,30,37753.0,-9.871896404741195
1962,3,31,37754.0,-9.87203832091697
1962,4,1,37755.0,-9.872193575271599
1962,4,2,37756.0,-9.872358640314072
1962,4,3,37757.0,-9.872522417937963
1962,4,4,37758.0,-9.872689620404167
1962,4,5,37759.0,-9.87287262400273
1962,4,6,37760.0,-9.873051032774276
1962,4,7,37761.0,-9.873247678934513
1962,4,8,37762.0,-9.87345688326032
1962,4,9,37763.0,-9.873681277507378
1962,4,10,37764.0,-9.873936303777096
1962,4,11,37765.0,-9.874233477597368
