Year,Month,Day,MJD,UT1R-TAI,LOD
2000,1,1,51544,-31.51197578,0.0009394
2000,1,2,51545,-31.51293666,0.0008034
2000,1,3,51546,-31.5138774,0.000668
2000,1,4,51547,-31.51479904,0.0005441
2000,1,5,51548,-31.51570007,0.0004369
2000,1,6,51549,-31.51657903,0.00041
2000,1,7,51550,-31.51747993,0.000424
2000,1,8,51551,-31.51836222,0.0003865
2000,1,9,51552,-31.51914317,0.0004639
2000,1,10,51553,-31.51993746,0.000612
2000,1,11,51554,-31.520739,0.0007567
2000,1,12,51555,-31.52152913,0.0009018
2000,1,13,51556,-31.52232552,0.0010574
2000,1,14,51557,-31.52315976,0.0011766
2000,1,15,51558,-31.52402077,0.0012001
2000,1,16,51559,-31.52487026,0.0011277
2000,1,17,51560,-31.52570017,0.0010329
2000,1,18,51561,-31.52655854,0.0009568
2000,1,19,51562,-31.52746483,0.00087
2000,1,20,51563,-31.5283669,0.0008188
2000,1,21,51564,-31.52925473,0.0008635
2000,1,22,51565,-31.53015197,0.0009799
2000,1,23,51566,-31.53105914,0.0010994
2000,1,24,51567,-31.53196159,0.0012083
2000,1,25,51568,-31.53288539,0.0012886
2000,1,26,51569,-31.53384773,0.0013073
2000,1,27,51570,-31.53483711,0.0012579
2000,1,28,51571,-31.53583481,0.0011534
2000,1,29,51572,-31.53682128,0.0010101
2000,1,30,51573,-31.53777765,0.0008398
2000,1,31,51574,-31.53869091,0.000708
2000,2,1,51575,-31.53960251,0.0006471
2000,2,2,51576,-31.54053561,0.0005709
2000,2,3,51577,-31.54141567,0.0005
2000,2,4,51578,-31.54223259,0.0005091
2000,2,5,51579,-31.54302752,0.0005836
2000,2,6,51580,-31.5438056,0.0006989
2000,2,7,51581,-31.54457416,0.000871
2000,2,8,51582,-31.54537474,0.0010757
2000,2,9,51583,-31.54622029,0.0012176
2000,2,10,51584,-31.54704883,0.0012315
2000,2,11,51585,-31.54778507,0.0011273
2000,2,12,51586,-31.54840239,0.0009901
2000,2,13,51587,-31.54895896,0.0008733
2000,2,14,51588,-31.54951852,0.000766
2000,2,15,51589,-31.55009464,0.000666
2000,2,16,51590,-31.55068315,0.0006609
2000,2,17,51591,-31.551328,0.0007162
2000,2,18,51592,-31.55197962,0.0007667
2000,2,19,51593,-31.5525714,0.0008534
2000,2,20,51594,-31.55314018,0.0010202
2000,2,21,51595,-31.55377649,0.0012006
2000,2,22,51596,-31.5545088,0.0013155
2000,2,23,51597,-31.55531078,0.0012937
2000,2,24,51598,-31.55609629,0.0011326
2000,2,25,51599,-31.55679829,0.0009192
2000,2,26,51600,-31.55743249,0.0007509
2000,2,27,51601,-31.5580724,0.0006788
2000,2,28,51602,-31.55878308,0.0006069
2000,2,29,51603,-31.55950666,0.0005241
2000,3,1,51604,-31.5602258,0.0005757
2000,3,2,51605,-31.56102802,0.0006062
2000,3,3,51606,-31.56179006,0.0006119
2000,3,4,51607,-31.56250518,0.0008279
2000,3,5,51608,-31.56334776,0.0010291
2000,3,6,51609,-31.56418791,0.001182
2000,3,7,51610,-31.56500642,0.0012894
2000,3,8,51611,-31.56578797,0.0013535
2000,3,9,51612,-31.5665576,0.001391
2000,3,10,51613,-31.56735463,0.0013552
2000,3,11,51614,-31.56815359,0.0011997
2000,3,12,51615,-31.5689024,0.00106
2000,3,13,51616,-31.56966489,0.0009251
2000,3,14,51617,-31.5704044,0.0007961
2000,3,15,51618,-31.57110019,0.0007893
2000,3,16,51619,-31.57181347,0.0008519
2000,3,17,51620,-31.57249506,0.0008805
2000,3,18,51621,-31.57305721,0.0008924
2000,3,19,51622,-31.57351144,0.0009687
2000,3,20,51623,-31.57396377,0.001045
2000,3,21,51624,-31.57444376,0.0010711
2000,3,22,51625,-31.57496811,0.0010545
2000,3,23,51626,-31.5755523,0.0009816
2000,3,24,51627,-31.57617052,0.0008479
2000,3,25,51628,-31.57678398,0.000681
2000,3,26,51629,-31.57737089,0.0005224
2000,3,27,51630,-31.57793348,0.000414
2000,3,28,51631,-31.57849523,0.0003806
2000,3,29,51632,-31.57908136,0.0004094
2000,3,30,51633,-31.57969164,0.0004861
2000,3,31,51634,-31.58031996,0.0006087
2000,4,1,51635,-31.58096629,0.0007754
2000,4,2,51636,-31.58163642,0.0009717
2000,4,3,51637,-31.58233381,0.0011584
2000,4,4,51638,-31.5830466,0.0012872
2000,4,5,51639,-31.58375419,0.0013226
2000,4,6,51640,-31.58444027,0.0012681
2000,4,7,51641,-31.58511332,0.0011538
2000,4,8,51642,-31.58579545,0.0010167
2000,4,9,51643,-31.58650452,0.0008861
2000,4,10,51644,-31.58724072,0.0007941
2000,4,11,51645,-31.58800311,0.0007787
2000,4,12,51646,-31.58880738,0.0008747
2000,4,13,51647,-31.58968514,0.0010293
2000,4,14,51648,-31.59061131,0.0011704
2000,4,15,51649,-31.59154282,0.0012962
2000,4,16,51650,-31.59249189,0.0014304
2000,4,17,51651,-31.59349942,0.001475
2000,4,18,51652,-31.59451021,0.0014057
2000,4,19,51653,-31.5954993,0.0013111
2000,4,20,51654,-31.59651776,0.0012224
2000,4,21,51655,-31.59759037,0.0011192
2000,4,22,51656,-31.59869638,0.0009869
2000,4,23,51657,-31.59979081,0.0008329
2000,4,24,51658,-31.60083092,0.0006909
2000,4,25,51659,-31.60180244,0.0006061
2000,4,26,51660,-31.60272936,0.0006316
2000,4,27,51661,-31.60367077,0.0007381
2000,4,28,51662,-31.60463556,0.0008747
2000,4,29,51663,-31.60560527,0.0010334
2000,4,30,51664,-31.60658046,0.0012204
2000,5,1,51665,-31.60758008,0.0013971
2000,5,2,51666,-31.60860134,0.0015122
2000,5,3,51667,-31.60963056,0.0015251
2000,5,4,51668,-31.61065024,0.0014404
2000,5,5,51669,-31.61166207,0.0012891
2000,5,6,51670,-31.61267004,0.0011075
2000,5,7,51671,-31.6136664,0.0009461
2000,5,8,51672,-31.61464662,0.0008518
2000,5,9,51673,-31.61561613,0.000849
2000,5,10,51674,-31.61659225,0.0009552
2000,5,11,51675,-31.61760871,0.0010747
2000,5,12,51676,-31.61861957,0.0011617
2000,5,13,51677,-31.61960837,0.0012378
2000,5,14,51678,-31.62060631,0.0012921
2000,5,15,51679,-31.62162605,0.0012531
2000,5,16,51680,-31.62261973,0.0011291
2000,5,17,51681,-31.62358168,0.0010097
2000,5,18,51682,-31.62457468,0.0009269
2000,5,19,51683,-31.62563654,0.0008465
2000,5,20,51684,-31.62674143,0.0007301
2000,5,21,51685,-31.6278221,0.0005694
2000,5,22,51686,-31.62881852,0.0004599
2000,5,23,51687,-31.62977255,0.0004837
2000,5,24,51688,-31.63075187,0.0005472
2000,5,25,51689,-31.63170265,0.0005884
2000,5,26,51690,-31.63256484,0.0006294
2000,5,27,51691,-31.633329,0.0007027
2000,5,28,51692,-31.63402223,0.0008092
2000,5,29,51693,-31.63467616,0.0009008
2000,5,30,51694,-31.63529654,0.0009376
2000,5,31,51695,-31.63589425,0.0009199
2000,6,1,51696,-31.63650151,0.0008331
2000,6,2,51697,-31.63712168,0.0006808
2000,6,3,51698,-31.6377407,0.0005216
2000,6,4,51699,-31.63836086,0.0004274
2000,6,5,51700,-31.63899848,0.0004285
2000,6,6,51701,-31.63966564,0.0005299
2000,6,7,51702,-31.64038431,0.0007094
2000,6,8,51703,-31.64116802,0.0008562
2000,6,9,51704,-31.64195183,0.0008938
2000,6,10,51705,-31.64267009,0.0008588
2000,6,11,51706,-31.64333643,0.0008272
2000,6,12,51707,-31.6440118,0.0007461
2000,6,13,51708,-31.64466341,0.0005798
2000,6,14,51709,-31.64524079,0.0003401
2000,6,15,51710,-31.64571011,0.0001135
2000,6,16,51711,-31.64611668,-3.59E-05
2000,6,17,51712,-31.64652289,-0.0001196
2000,6,18,51713,-31.64695167,-0.0001624
2000,6,19,51714,-31.64735333,-0.0001977
2000,6,20,51715,-31.64773378,-0.0001595
2000,6,21,51716,-31.64811678,-5.83E-05
2000,6,22,51717,-31.64849701,5.88e-05
2000,6,23,51718,-31.64884696,0.0001626
2000,6,24,51719,-31.64913855,0.0002463
2000,6,25,51720,-31.649364,0.000317
2000,6,26,51721,-31.64954136,0.000387
2000,6,27,51722,-31.64973983,0.0004596
2000,6,28,51723,-31.64999253,0.0004579
2000,6,29,51724,-31.65025787,0.0003373
2000,6,30,51725,-31.65049795,0.000164
2000,7,1,51726,-31.65071317,2.81e-05
2000,7,2,51727,-31.65091808,-1.57E-05
2000,7,3,51728,-31.65113331,5.27e-05
2000,7,4,51729,-31.65138181,0.0002108
2000,7,5,51730,-31.65167858,0.0004019
2000,7,6,51731,-31.65202863,0.0005649
2000,7,7,51732,-31.65242354,0.0006538
2000,7,8,51733,-31.652844,0.0006561
2000,7,9,51734,-31.65328173,0.0005983
2000,7,10,51735,-31.65374542,0.0005113
2000,7,11,51736,-31.65424366,0.0004072
2000,7,12,51737,-31.65476982,0.0002818
2000,7,13,51738,-31.65528643,0.000142
2000,7,14,51739,-31.6557995,3.5e-05
2000,7,15,51740,-31.65628986,-6.73E-05
2000,7,16,51741,-31.65670394,-0.0001653
2000,7,17,51742,-31.65703644,-0.0002067
2000,7,18,51743,-31.65728997,-0.0001942
2000,7,19,51744,-31.6574742,-0.0001398
2000,7,20,51745,-31.65758184,-8.83E-05
2000,7,21,51746,-31.65756804,-7.12E-05
2000,7,22,51747,-31.65743726,-3.48E-05
2000,7,23,51748,-31.65726902,4.55e-05
2000,7,24,51749,-31.65710446,0.0001016
2000,7,25,51750,-31.65695936,0.0001048
2000,7,26,51751,-31.65683788,7.02e-05
2000,7,27,51752,-31.6568014,1.19e-05
2000,7,28,51753,-31.65674074,-0.0001584
2000,7,29,51754,-31.65661245,-0.0002611
2000,7,30,51755,-31.65651669,-0.0001798
2000,7,31,51756,-31.65647628,-8.20E-06
2000,8,1,51757,-31.65649794,0.0001991
2000,8,2,51758,-31.65653455,0.0003416
2000,8,3,51759,-31.65653134,0.0003985
2000,8,4,51760,-31.65651293,0.0004083
2000,8,5,51761,-31.65649463,0.0003439
2000,8,6,51762,-31.65646464,0.0002165
2000,8,7,51763,-31.65644202,8.77e-05
2000,8,8,51764,-31.6564567,-1.57E-05
2000,8,9,51765,-31.6565323,-9.52E-05
2000,8,10,51766,-31.656651,-0.0001897
2000,8,11,51767,-31.65673638,-0.000302
2000,8,12,51768,-31.65679585,-0.0003243
2000,8,13,51769,-31.65689938,-0.000232
2000,8,14,51770,-31.65706741,-8.72E-05
2000,8,15,51771,-31.65729572,7.77e-05
2000,8,16,51772,-31.65754416,0.0002164
2000,8,17,51773,-31.65775712,0.0003362
2000,8,18,51774,-31.65798487,0.0004865
2000,8,19,51775,-31.65822382,0.0005919
2000,8,20,51776,-31.65849214,0.0006659
2000,8,21,51777,-31.65880882,0.0006976
2000,8,22,51778,-31.65918286,0.0006716
2000,8,23,51779,-31.65958413,0.0005866
2000,8,24,51780,-31.660019,0.0004963
2000,8,25,51781,-31.66045044,0.0004059
2000,8,26,51782,-31.66086398,0.0003882
2000,8,27,51783,-31.6612787,0.0004778
2000,8,28,51784,-31.66169732,0.0006366
2000,8,29,51785,-31.66211736,0.0008118
2000,8,30,51786,-31.66252181,0.0009352
2000,8,31,51787,-31.66289418,0.0009709
2000,9,1,51788,-31.66323622,0.0009216
2000,9,2,51789,-31.66356017,0.0008052
2000,9,3,51790,-31.6638757,0.0006466
2000,9,4,51791,-31.66418908,0.0004749
2000,9,5,51792,-31.66450194,0.0003103
2000,9,6,51793,-31.66480549,0.0001616
2000,9,7,51794,-31.66508277,3.51e-05
2000,9,8,51795,-31.66531147,-5.70E-05
2000,9,9,51796,-31.66549082,-8.43E-05
2000,9,10,51797,-31.66564568,-3.61E-05
2000,9,11,51798,-31.66578693,6.23e-05
2000,9,12,51799,-31.66591991,0.0001966
2000,9,13,51800,-31.66605095,0.0003493
2000,9,14,51801,-31.6661852,0.0004995
2000,9,15,51802,-31.66634084,0.0006311
2000,9,16,51803,-31.66653409,0.0007131
2000,9,17,51804,-31.66676372,0.0007191
2000,9,18,51805,-31.66701807,0.0006511
2000,9,19,51806,-31.6672855,0.0005378
2000,9,20,51807,-31.66756717,0.0004273
2000,9,21,51808,-31.66787715,0.0003675
2000,9,22,51809,-31.66823755,0.0003795
2000,9,23,51810,-31.66862459,0.000434
2000,9,24,51811,-31.66898886,0.0005294
2000,9,25,51812,-31.6693318,0.0006913
2000,9,26,51813,-31.66968375,0.0008867
2000,9,27,51814,-31.67007821,0.0010524
2000,9,28,51815,-31.67051869,0.001127
2000,9,29,51816,-31.67100167,0.0011044
2000,9,30,51817,-31.67152401,0.0010035
2000,10,1,51818,-31.67207464,0.0008439
2000,10,2,51819,-31.67261985,0.0006407
2000,10,3,51820,-31.67312404,0.0004312
2000,10,4,51821,-31.6735773,0.0002682
2000,10,5,51822,-31.67400624,0.0002001
2000,10,6,51823,-31.6744698,0.0002436
2000,10,7,51824,-31.67499884,0.0003571
2000,10,8,51825,-31.67558932,0.0005053
2000,10,9,51826,-31.67622693,0.0006748
2000,10,10,51827,-31.67690006,0.0008561
2000,10,11,51828,-31.67760339,0.0010352
2000,10,12,51829,-31.67833704,0.0011902
2000,10,13,51830,-31.67910353,0.0012945
2000,10,14,51831,-31.67990532,0.001328
2000,10,15,51832,-31.6807477,0.0012885
2000,10,16,51833,-31.68162993,0.001193
2000,10,17,51834,-31.68255869,0.0010828
2000,10,18,51835,-31.68352785,0.0009871
2000,10,19,51836,-31.68452253,0.0009242
2000,10,20,51837,-31.68548965,0.0009019
2000,10,21,51838,-31.68643376,0.0009871
2000,10,22,51839,-31.68740557,0.0011713
2000,10,23,51840,-31.68841386,0.0013653
2000,10,24,51841,-31.68944507,0.0015101
2000,10,25,51842,-31.69047818,0.0015662
2000,10,26,51843,-31.69149349,0.0015544
2000,10,27,51844,-31.69258125,0.001547
2000,10,28,51845,-31.69375916,0.00145
2000,10,29,51846,-31.69492676,0.0012406
2000,10,30,51847,-31.69607761,0.001056
2000,10,31,51848,-31.69723207,0.0009318
2000,11,1,51849,-31.69842502,0.0008673
2000,11,2,51850,-31.6996183,0.0008106
2000,11,3,51851,-31.70077978,0.0007916
2000,11,4,51852,-31.7019084,0.0008312
2000,11,5,51853,-31.70300831,0.0009171
2000,11,6,51854,-31.70408196,0.0010317
2000,11,7,51855,-31.70513154,0.0011578
2000,11,8,51856,-31.70615754,0.0012728
2000,11,9,51857,-31.70715794,0.0013486
2000,11,10,51858,-31.70812927,0.0013567
2000,11,11,51859,-31.70906622,0.0012789
2000,11,12,51860,-31.70996353,0.0011222
2000,11,13,51861,-31.71082182,0.0009264
2000,11,14,51862,-31.71165261,0.0007507
2000,11,15,51863,-31.7124726,0.0006468
2000,11,16,51864,-31.71329995,0.0006248
2000,11,17,51865,-31.71409436,0.0006447
2000,11,18,51866,-31.71483946,0.0007312
2000,11,19,51867,-31.71557745,0.0008843
2000,11,20,51868,-31.71633266,0.0010368
2000,11,21,51869,-31.71712432,0.0011494
2000,11,22,51870,-31.71795742,0.0011854
2000,11,23,51871,-31.71881405,0.00113
2000,11,24,51872,-31.71968573,0.0010126
2000,11,25,51873,-31.72057246,0.0008645
2000,11,26,51874,-31.72147675,0.0007147
2000,11,27,51875,-31.72240243,0.0005899
2000,11,28,51876,-31.72335746,0.000512
2000,11,29,51877,-31.7243498,0.0004959
2000,11,30,51878,-31.7253964,0.00054
2000,12,1,51879,-31.72646929,0.0006071
2000,12,2,51880,-31.72755043,0.0007234
2000,12,3,51881,-31.72868044,0.0008995
2000,12,4,51882,-31.72983472,0.001048
2000,12,5,51883,-31.73096811,0.0011516
2000,12,6,51884,-31.73205264,0.0012406
2000,12,7,51885,-31.73315469,0.001332
2000,12,8,51886,-31.73423249,0.0013002
2000,12,9,51887,-31.73525158,0.0011933
2000,12,10,51888,-31.73628186,0.0010883
2000,12,11,51889,-31.73732791,0.0009435
2000,12,12,51890,-31.73836465,0.0007936
2000,12,13,51891,-31.73934814,0.0006779
2000,12,14,51892,-31.74024762,0.0006473
2000,12,15,51893,-31.74109341,0.0007232
2000,12,16,51894,-31.7418924,0.0008229
2000,12,17,51895,-31.74262562,0.0008948
2000,12,18,51896,-31.74331909,0.0009474
2000,12,19,51897,-31.74400931,0.0009616
2000,12,20,51898,-31.74472128,0.0009153
2000,12,21,51899,-31.74543934,0.0007974
2000,12,22,51900,-31.74616278,0.0006563
2000,12,23,51901,-31.74691056,0.0005269
2000,12,24,51902,-31.74769257,0.0004161
2000,12,25,51903,-31.74850592,0.000331
2000,12,26,51904,-31.74934255,0.0002813
2000,12,27,51905,-31.75019264,0.0002751
2000,12,28,51906,-31.7510493,0.0003144
2000,12,29,51907,-31.75189973,0.0003858
2000,12,30,51908,-31.75272529,0.000462
2000,12,31,51909,-31.75347534,0.0005245
2001,1,1,51910,-31.75402461,0.0006256
2001,1,2,51911,-31.75471452,0.0007927
2001,1,3,51912,-31.75545618,0.0008751
2001,1,4,51913,-31.75617032,0.0009123
2001,1,5,51914,-31.75689346,0.0009134
2001,1,6,51915,-31.75763109,0.0008039
2001,1,7,51916,-31.75832661,0.0006401
2001,1,8,51917,-31.75899177,0.0005054
2001,1,9,51918,-31.75965097,0.0004459
2001,1,10,51919,-31.76029977,0.0004092
2001,1,11,51920,-31.76085725,0.0004353
2001,1,12,51921,-31.76133268,0.0005613
2001,1,13,51922,-31.76178943,0.0007476
2001,1,14,51923,-31.76228446,0.0009094
2001,1,15,51924,-31.76283259,0.0009771
2001,1,16,51925,-31.76341204,0.0009225
2001,1,17,51926,-31.76398217,0.0007615
2001,1,18,51927,-31.76451368,0.0005769
2001,1,19,51928,-31.76503412,0.0004146
2001,1,20,51929,-31.76555966,0.0002504
2001,1,21,51930,-31.76605816,9.31e-05
2001,1,22,51931,-31.76651177,-2.85E-05
2001,1,23,51932,-31.76692187,-8.82E-05
2001,1,24,51933,-31.7673102,-5.22E-05
2001,1,25,51934,-31.76771993,4.78e-05
2001,1,26,51935,-31.76815013,0.000178
2001,1,27,51936,-31.76859036,0.0003216
2001,1,28,51937,-31.76903301,0.0004585
2001,1,29,51938,-31.76946552,0.0005514
2001,1,30,51939,-31.76985676,0.0005826
2001,1,31,51940,-31.77018238,0.0005522
2001,2,1,51941,-31.77043298,0.0004725
2001,2,2,51942,-31.77061842,0.0003585
2001,2,3,51943,-31.77075924,0.0002142
2001,2,4,51944,-31.77086573,7.94e-05
2001,2,5,51945,-31.77096399,4.7e-06
2001,2,6,51946,-31.77108013,3.71e-05
2001,2,7,51947,-31.77124485,0.000217
2001,2,8,51948,-31.77149888,0.0004834
2001,2,9,51949,-31.77182576,0.0007471
2001,2,10,51950,-31.77219591,0.0009529
2001,2,11,51951,-31.77260727,0.0010908
2001,2,12,51952,-31.7730961,0.001159
2001,2,13,51953,-31.77369454,0.0011585
2001,2,14,51954,-31.77440104,0.001028
2001,2,15,51955,-31.77513492,0.0008969
2001,2,16,51956,-31.77594305,0.000799
2001,2,17,51957,-31.77681326,0.0006713
2001,2,18,51958,-31.77767564,0.0005833
2001,2,19,51959,-31.77855145,0.0005687
2001,2,20,51960,-31.77945518,0.0006184
2001,2,21,51961,-31.78038048,0.0006602
2001,2,22,51962,-31.78126433,0.0007337
2001,2,23,51963,-31.78212829,0.0008699
2001,2,24,51964,-31.78301105,0.0010365
2001,2,25,51965,-31.78393044,0.0012107
2001,2,26,51966,-31.78490849,0.0013638
2001,2,27,51967,-31.7859506,0.0014619
2001,2,28,51968,-31.78704231,0.0014894
2001,3,1,51969,-31.78815512,0.0013977
2001,3,2,51970,-31.78921598,0.0012227
2001,3,3,51971,-31.79021258,0.0010866
2001,3,4,51972,-31.79121133,0.0009918
2001,3,5,51973,-31.79220397,0.0009392
2001,3,6,51974,-31.79316701,0.0009527
2001,3,7,51975,-31.79408811,0.0011071
2001,3,8,51976,-31.79502116,0.0013225
2001,3,9,51977,-31.79593954,0.0015048
2001,3,10,51978,-31.79681835,0.0016153
2001,3,11,51979,-31.79766725,0.0016318
2001,3,12,51980,-31.79850407,0.0015444
2001,3,13,51981,-31.79933246,0.0013653
2001,3,14,51982,-31.80013015,0.0010609
2001,3,15,51983,-31.8008228,0.0007948
2001,3,16,51984,-31.80149849,0.0006686
2001,3,17,51985,-31.80223241,0.0005446
2001,3,18,51986,-31.80293579,0.0004427
2001,3,19,51987,-31.80360439,0.0004063
2001,3,20,51988,-31.80425184,0.0004491
2001,3,21,51989,-31.80489967,0.0005389
2001,3,22,51990,-31.8055351,0.0006299
2001,3,23,51991,-31.80612913,0.0007279
2001,3,24,51992,-31.8066952,0.0008591
2001,3,25,51993,-31.80728099,0.0009918
2001,3,26,51994,-31.80790633,0.0010829
2001,3,27,51995,-31.80857185,0.0011023
2001,3,28,51996,-31.80926523,0.0010522
2001,3,29,51997,-31.80998082,0.0009565
2001,3,30,51998,-31.81071895,0.000842
2001,3,31,51999,-31.81147482,0.000735
2001,4,1,52000,-31.81223529,0.0006661
2001,4,2,52001,-31.81298601,0.0006679
2001,4,3,52002,-31.81372006,0.00076
2001,4,4,52003,-31.81444128,0.0009488
2001,4,5,52004,-31.81517007,0.0011635
2001,4,6,52005,-31.81589411,0.001348
2001,4,7,52006,-31.81662363,0.0014738
2001,4,8,52007,-31.81738251,0.0014723
2001,4,9,52008,-31.81814067,0.0013262
2001,4,10,52009,-31.81886382,0.0010762
2001,4,11,52010,-31.81953733,0.000845
2001,4,12,52011,-31.82021342,0.0006316
2001,4,13,52012,-31.82086611,0.0004236
2001,4,14,52013,-31.82146977,0.0003112
2001,4,15,52014,-31.82208498,0.0003034
2001,4,16,52015,-31.82274197,0.0003855
2001,4,17,52016,-31.82346525,0.0005324
2001,4,18,52017,-31.82425822,0.0007176
2001,4,19,52018,-31.82510503,0.0008624
2001,4,20,52019,-31.8259277,0.000933
2001,4,21,52020,-31.82666746,0.0009608
2001,4,22,52021,-31.8273259,0.0009583
2001,4,23,52022,-31.82792749,0.0009389
2001,4,24,52023,-31.82852598,0.0009087
2001,4,25,52024,-31.8291726,0.0008529
2001,4,26,52025,-31.82987996,0.0007368
2001,4,27,52026,-31.8306073,0.0006014
2001,4,28,52027,-31.83134824,0.0005521
2001,4,29,52028,-31.83215306,0.0006125
2001,4,30,52029,-31.83303637,0.0007581
2001,5,1,52030,-31.83398167,0.000947
2001,5,2,52031,-31.83495236,0.0011467
2001,5,3,52032,-31.83593252,0.0013699
2001,5,4,52033,-31.83695927,0.0015395
2001,5,5,52034,-31.83801095,0.0015595
2001,5,6,52035,-31.83903212,0.0014601
2001,5,7,52036,-31.84003344,0.0012972
2001,5,8,52037,-31.841042,0.0011192
2001,5,9,52038,-31.84207637,0.0008994
2001,5,10,52039,-31.8430884,0.0007122
2001,5,11,52040,-31.84410242,0.0006045
2001,5,12,52041,-31.84513782,0.0005544
2001,5,13,52042,-31.84618472,0.0005809
2001,5,14,52043,-31.8472648,0.0006807
2001,5,15,52044,-31.84838553,0.0008212
2001,5,16,52045,-31.84952719,0.0009214
2001,5,17,52046,-31.85062007,0.0010122
2001,5,18,52047,-31.85167311,0.001102
2001,5,19,52048,-31.85269029,0.0011405
2001,5,20,52049,-31.8536444,0.0011182
2001,5,21,52050,-31.85453367,0.0010314
2001,5,22,52051,-31.85536023,0.0008809
2001,5,23,52052,-31.85612689,0.0006726
2001,5,24,52053,-31.85682478,0.0004497
2001,5,25,52054,-31.85745805,0.0002778
2001,5,26,52055,-31.858045,0.0001959
2001,5,27,52056,-31.85859548,0.0002116
2001,5,28,52057,-31.85911065,0.0003043
2001,5,29,52058,-31.859585,0.0004352
2001,5,30,52059,-31.86001222,0.0005603
2001,5,31,52060,-31.86039008,0.0006417
2001,6,1,52061,-31.86072313,0.0006509
2001,6,2,52062,-31.8610172,0.000573
2001,6,3,52063,-31.86127509,0.0004134
2001,6,4,52064,-31.86149632,0.0001971
2001,6,5,52065,-31.86167879,-4.03E-05
2001,6,6,52066,-31.86182083,-0.0002606
2001,6,7,52067,-31.86192655,-0.0004282
2001,6,8,52068,-31.86201215,-0.0005102
2001,6,9,52069,-31.86211338,-0.0004814
2001,6,10,52070,-31.86227476,-0.0003709
2001,6,11,52071,-31.86250078,-0.0002263
2001,6,12,52072,-31.86276447,-9.16E-05
